rank,title,artist,song_id,year_month,genre,month,year,season
1,"기쁨, 슬픔, 아름다운 마음",AKMU (악뮤),601719416,202604,발라드,4,2026,봄
2,소문의 낙원,AKMU (악뮤),601719413,202604,록,4,2026,봄
3,RUDE!,Hearts2Hearts (하츠투하츠),601332163,202604,댄스,4,2026,봄
4,BANG BANG,IVE (아이브),601237102,202604,댄스,4,2026,봄
5,404 (New Era),KiiiKiii (키키),601013499,202604,댄스,4,2026,봄
6,사랑하게 될 거야,한로로,36730261,202604,인디,4,2026,봄
7,Drowning,WOODZ,36397952,202604,록,4,2026,봄
8,SWIM,방탄소년단,601555642,202604,R&B,4,2026,봄
9,Good Goodbye,화사 (HWASA),600287375,202604,발라드,4,2026,봄
10,0+0,한로로,39504779,202604,인디,4,2026,봄
11,타임캡슐,다비치,600299706,202604,발라드,4,2026,봄
12,멸종위기사랑,이찬혁,39307948,202604,댄스,4,2026,봄
13,그대 작은 나의 세상이 되어,카더가든,33241003,202604,발라드,4,2026,봄
14,너에게 닿기를,10CM,38626852,202604,록,4,2026,봄
15,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),32061975,202604,발라드,4,2026,봄
16,Body to Body,방탄소년단,601555636,202604,기타,4,2026,봄
17,어제보다 슬픈 오늘,우디 (Woody),38733032,202604,발라드,4,2026,봄
18,Blue Valentine,NMIXX,600243411,202604,댄스,4,2026,봄
19,너의 모든 순간,성시경,4446485,202604,발라드,4,2026,봄
20,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",39166708,202604,기타,4,2026,봄
21,"TICK TOCK (Feat. ZICO) (Prod. by ZICO, Crush)","김하온 (HAON), Nosun, Raf Sandou, Marv, 정준혁",601461624,202604,기타,4,2026,봄
22,Popcorn,도경수(D.O.),37473973,202604,발라드,4,2026,봄
23,뛰어(JUMP),BLACKPINK,39298775,202604,댄스,4,2026,봄
24,모르시나요(PROD.로코베리),조째즈,38429074,202604,발라드,4,2026,봄
25,BLACKHOLE,IVE (아이브),601356371,202604,댄스,4,2026,봄
26,toxic till the end,로제 (ROSÉ),38300904,202604,록,4,2026,봄
27,캐치 캐치,YENA (최예나),601479669,202604,댄스,4,2026,봄
28,내게 사랑이 뭐냐고 물어본다면,로이킴,38104031,202604,발라드,4,2026,봄
29,천상연,이창섭,37228861,202604,발라드,4,2026,봄
30,HAPPY,DAY6 (데이식스),37323944,202604,록,4,2026,봄
31,사랑인가 봐,멜로망스,34657844,202604,발라드,4,2026,봄
32,Love Love Love (Feat. Yoong Jin Of Casker),에픽하이 (EPIK HIGH),1556553,202604,기타,4,2026,봄
33,2.0,방탄소년단,601555640,202604,기타,4,2026,봄
34,사랑은 봄비처럼...이별은 겨울비처럼...,임현정,1121123,202604,발라드,4,2026,봄
35,Whiplash,aespa,38123332,202604,댄스,4,2026,봄
36,한 페이지가 될 수 있게,DAY6 (데이식스),31927275,202604,록,4,2026,봄
37,like JENNIE,제니 (JENNIE),38629386,202604,댄스,4,2026,봄
