id,week_offset,week_label,rank,title,artist,likes,crawled_at
1,0,2026.03.30 ~ 2026.04.05,1,BANG BANG,IVE (아이브),64208,2026-05-26 15:47:04
2,0,2026.03.30 ~ 2026.04.05,2,404 (New Era),KiiiKiii (키키),66002,2026-05-26 15:47:04
3,0,2026.03.30 ~ 2026.04.05,3,RUDE!,Hearts2Hearts (하츠투하츠),63368,2026-05-26 15:47:04
4,0,2026.03.30 ~ 2026.04.05,4,SWIM,방탄소년단,60888,2026-05-26 15:47:04
5,0,2026.03.30 ~ 2026.04.05,5,Drowning,WOODZ,300622,2026-05-26 15:47:04
6,0,2026.03.30 ~ 2026.04.05,6,Good Goodbye,화사 (HWASA),119761,2026-05-26 15:47:04
7,0,2026.03.30 ~ 2026.04.05,7,사랑하게 될 거야,한로로,134529,2026-05-26 15:47:04
8,0,2026.03.30 ~ 2026.04.05,8,0+0,한로로,106518,2026-05-26 15:47:04
9,0,2026.03.30 ~ 2026.04.05,9,Body to Body,방탄소년단,46266,2026-05-26 15:47:04
10,0,2026.03.30 ~ 2026.04.05,10,타임캡슐,다비치,72432,2026-05-26 15:47:04
11,0,2026.03.30 ~ 2026.04.05,11,그대 작은 나의 세상이 되어,카더가든,83793,2026-05-26 15:47:04
12,0,2026.03.30 ~ 2026.04.05,12,멸종위기사랑,이찬혁,99361,2026-05-26 15:47:04
13,0,2026.03.30 ~ 2026.04.05,13,너에게 닿기를,10CM,151016,2026-05-26 15:47:04
14,0,2026.03.30 ~ 2026.04.05,14,TICK TOCK (Feat. ZICO) (Prod. by ZICO\, Crush),김하온 (HAON)\, Nosun\, Raf Sandou\, Marv\, 정준혁,39118,2026-05-26 15:47:04
15,0,2026.03.30 ~ 2026.04.05,15,Blue Valentine,NMIXX,116956,2026-05-26 15:47:04
16,0,2026.03.30 ~ 2026.04.05,16,Golden,"HUNTR/X\, EJAE\, AUDREY NUNA\, REI AMI\, KPop Demon Hunters Cast",192148,2026-05-26 15:47:04
17,0,2026.03.30 ~ 2026.04.05,17,BLACKHOLE,IVE (아이브),39132,2026-05-26 15:47:04
18,0,2026.03.30 ~ 2026.04.05,18,어제보다 슬픈 오늘,우디 (Woody),85785,2026-05-26 15:47:04
19,0,2026.03.30 ~ 2026.04.05,19,"어떻게 이별까지 사랑하겠어\, 널 사랑하는 거지",AKMU (악뮤),497436,2026-05-26 15:47:04
20,0,2026.03.30 ~ 2026.04.05,20,너의 모든 순간,성시경,323979,2026-05-26 15:47:04
21,0,2026.03.30 ~ 2026.04.05,21,뛰어(JUMP),BLACKPINK,97001,2026-05-26 15:47:04
22,0,2026.03.30 ~ 2026.04.05,22,toxic till the end,로제 (ROSÉ),155503,2026-05-26 15:47:04
23,0,2026.03.30 ~ 2026.04.05,23,모르시나요(PROD.로코베리),조째즈,107849,2026-05-26 15:47:04
24,0,2026.03.30 ~ 2026.04.05,24,천상연,이창섭,146871,2026-05-26 15:47:04
25,0,2026.03.30 ~ 2026.04.05,25,Love Love Love (Feat. Yoong Jin Of Casker),에픽하이 (EPIK HIGH),123779,2026-05-26 15:47:04
26,0,2026.03.30 ~ 2026.04.05,26,사랑은 봄비처럼...이별은 겨울비처럼...,임현정,69380,2026-05-26 15:47:04
27,0,2026.03.30 ~ 2026.04.05,27,내게 사랑이 뭐냐고 물어본다면,로이킴,97854,2026-05-26 15:47:04
28,0,2026.03.30 ~ 2026.04.05,28,사랑인가 봐,멜로망스,237136,2026-05-26 15:47:04
29,0,2026.03.30 ~ 2026.04.05,29,HAPPY,DAY6 (데이식스),214995,2026-05-26 15:47:04
30,0,2026.03.30 ~ 2026.04.05,30,Hooligan,방탄소년단,31309,2026-05-26 15:47:04
31,0,2026.03.30 ~ 2026.04.05,31,SPAGHETTI (feat. j-hope of BTS),LE SSERAFIM (르세라핌)\, j-hope,51260,2026-05-26 15:47:04
32,0,2026.03.30 ~ 2026.04.05,32,like JENNIE,제니 (JENNIE),110573,2026-05-26 15:47:04
33,0,2026.03.30 ~ 2026.04.05,33,Whiplash,aespa,153495,2026-05-26 15:47:04
34,0,2026.03.30 ~ 2026.04.05,34,한 페이지가 될 수 있게,DAY6 (데이식스),368484,2026-05-26 15:47:04
35,0,2026.03.30 ~ 2026.04.05,35,HOME SWEET HOME (feat. 태양\, 대성),G-DRAGON,230279,2026-05-26 15:47:04
36,0,2026.03.30 ~ 2026.04.05,36,모든 날\, 모든 순간 (Every day\, Every Moment),폴킴,437967,2026-05-26 15:47:04
37,0,2026.03.30 ~ 2026.04.05,37,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),173240,2026-05-26 15:47:04
38,0,2026.03.30 ~ 2026.04.05,38,나는 반딧불,황가람,158947,2026-05-26 15:47:04
39,0,2026.03.30 ~ 2026.04.05,39,청춘만화,이무진,101490,2026-05-26 15:47:04
40,0,2026.03.30 ~ 2026.04.05,40,달리 표현할 수 없어요,로이킴,41973,2026-05-26 15:47:04
41,0,2026.03.30 ~ 2026.04.05,41,ONE MORE TIME,ALLDAY PROJECT,61413,2026-05-26 15:47:04
42,0,2026.03.30 ~ 2026.04.05,42,FAMOUS,ALLDAY PROJECT,131649,2026-05-26 15:47:04
43,0,2026.03.30 ~ 2026.04.05,43,소나기,이클립스 (ECLIPSE),196585,2026-05-26 15:47:04
44,0,2026.03.30 ~ 2026.04.05,44,Welcome to the Show,DAY6 (데이식스),199563,2026-05-26 15:47:04
45,0,2026.03.30 ~ 2026.04.05,45,청혼하지 않을 이유를 못 찾았어,이무진,73993,2026-05-26 15:47:04
46,0,2026.03.30 ~ 2026.04.05,46,2.0,방탄소년단,29895,2026-05-26 15:47:04
47,0,2026.03.30 ~ 2026.04.05,47,예뻤어,DAY6 (데이식스),381251,2026-05-26 15:47:04
48,0,2026.03.30 ~ 2026.04.05,48,Flower,오반(OVAN),87181,2026-05-26 15:47:04
49,0,2026.03.30 ~ 2026.04.05,49,주저하는 연인들을 위해,잔나비,454223,2026-05-26 15:47:04
50,0,2026.03.30 ~ 2026.04.05,50,눈을 감아도(2026),순순희(지환),13439,2026-05-26 15:47:04
51,0,2026.03.30 ~ 2026.04.05,51,봄날,방탄소년단,509159,2026-05-26 15:47:04
52,0,2026.03.30 ~ 2026.04.05,52,시작의 아이 ❍,"박다혜\, 마크툽 (MAKTUB)",71470,2026-05-26 15:47:04
53,0,2026.03.30 ~ 2026.04.05,53,STYLE,Hearts2Hearts (하츠투하츠),60829,2026-05-26 15:47:04
54,0,2026.03.30 ~ 2026.04.05,54,FYA,방탄소년단,26520,2026-05-26 15:47:04
55,0,2026.03.30 ~ 2026.04.05,55,FOCUS,Hearts2Hearts (하츠투하츠),43462,2026-05-26 15:47:04
56,0,2026.03.30 ~ 2026.04.05,56,KISS KISS KISS (Feat. 선우 (THE BOYZ)) (Prod. by Hukky Shibaseki),"NOWIMYOUNG (나우아임영)\, Royal 44",30182,2026-05-26 15:47:04
57,0,2026.03.30 ~ 2026.04.05,57,APT.,로제 (ROSÉ)\, Bruno Mars,221041,2026-05-26 15:47:04
58,0,2026.03.30 ~ 2026.04.05,58,REBEL HEART,IVE (아이브),120777,2026-05-26 15:47:04
59,0,2026.03.30 ~ 2026.04.05,59,NOT CUTE ANYMORE,아일릿(ILLIT),48184,2026-05-26 15:47:04
60,0,2026.03.30 ~ 2026.04.05,60,Aliens,방탄소년단,25406,2026-05-26 15:47:04
61,0,2026.03.30 ~ 2026.04.05,61,Love wins all,아이유,223529,2026-05-26 15:47:04
62,0,2026.03.30 ~ 2026.04.05,62,첫 만남은 계획대로 되지 않아,TWS (투어스),174982,2026-05-26 15:47:04
63,0,2026.03.30 ~ 2026.04.05,63,Seven (feat. Latto) - Clean Ver.,정국,231559,2026-05-26 15:47:04
64,0,2026.03.30 ~ 2026.04.05,64,오늘만 I LOVE YOU,BOYNEXTDOOR,186448,2026-05-26 15:47:04
65,0,2026.03.30 ~ 2026.04.05,65,OVERDRIVE,TWS (투어스),44529,2026-05-26 15:47:04
66,0,2026.03.30 ~ 2026.04.05,66,다정히 내 이름을 부르면,"경서예지\, 전건호",223789,2026-05-26 15:47:04
67,0,2026.03.30 ~ 2026.04.05,67,헤어지자 말해요,박재정,194185,2026-05-26 15:47:04
