Rank,Artist,Title,Views,Likes,Comments,Video URL
11,한로로,0+0,4533051,37989,1695,https://www.youtube.com/watch?v=_Ngk-DCHfD0
12,KiiiKiii (키키),404 (New Era),18809168,405089,14294,https://www.youtube.com/watch?v=zhHB4dZTChw
13,IVE (아이브),BANG BANG,51453896,649971,32362,https://www.youtube.com/watch?v=9qkpcLK422o
14,화사 (HWASA),Good Goodbye,154117006,1148775,30476,https://www.youtube.com/watch?v=Qe8fa4b5xNU
15,도경수(D.O.),Popcorn,4117917,65499,2351,https://www.youtube.com/watch?v=fw77hyiICu8
16,다비치,타임캡슐,5758597,30025,1210,https://www.youtube.com/watch?v=qE35JN1ogeI
17,방탄소년단,SWIM,124161504,6560395,1123380,https://www.youtube.com/watch?v=b4iVv91Z6lY
18,aespa,WDA (Whole Different Animal),22471453,529304,33523,https://www.youtube.com/watch?v=iTJSbJtS8MU
19,10CM,너에게 닿기를,7006669,35585,1076,https://www.youtube.com/watch?v=qRdFd34gnOY
20,이찬혁,멸종위기사랑,13321152,120071,6967,https://www.youtube.com/watch?v=19oT04OuBhg
21,NMIXX,Blue Valentine,51406272,524758,31572,https://www.youtube.com/watch?v=EmeW6li6bbo
22,AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",88617968,725741,23878,https://www.youtube.com/watch?v=m3DZsBw5bnE
23,우디 (Woody),어제보다 슬픈 오늘,14971598,22616,678,https://www.youtube.com/watch?v=1mZ-hoIvEx8
24,카더가든,그대 작은 나의 세상이 되어,4000401,17875,555,https://www.youtube.com/watch?v=ZurHW2kBqrw
25,방탄소년단,Body to Body,82971384,1827773,74378,https://www.youtube.com/watch?v=RBaSiVjtKR4
26,성시경,너의 모든 순간,25217874,76143,5074,https://www.youtube.com/watch?v=i2aRMXZR1k0
27,BLACKPINK,뛰어(JUMP),389733892,6675010,474085,https://www.youtube.com/watch?v=CgCVZdcKcqY
28,로제 (ROSÉ),toxic till the end,134458740,2660711,115632,https://www.youtube.com/watch?v=eA0lHNZ1KCA
29,로이킴,내게 사랑이 뭐냐고 물어본다면,11470852,29246,1109,https://www.youtube.com/watch?v=5ly8tAU-n_w
30,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,1450329749,6905727,219338,https://www.youtube.com/watch?v=yebNIHKAC4A
31,조째즈,모르시나요(PROD.로코베리),3399551,16229,1718,https://www.youtube.com/watch?v=14RXqeX2pco
32,이클립스 (ECLIPSE),소나기,5193552,21073,1326,https://www.youtube.com/watch?v=MQMzMgqcuKk
33,aespa,Whiplash,288818014,2556066,95804,https://www.youtube.com/watch?v=jWQx2f-CErU
34,이창섭,천상연,25392753,67978,4442,https://www.youtube.com/watch?v=fQ84rvbfa08
35,G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)",40654693,299168,17764,https://www.youtube.com/watch?v=QtFNIZV_RO8
36,이무진,청춘만화,5180070,23483,966,https://www.youtube.com/watch?v=_xFQKWlYv3k
37,IVE (아이브),BLACKHOLE,21630683,370213,21387,https://www.youtube.com/watch?v=1Lmy7qwmSMc
38,DAY6 (데이식스),HAPPY,4070082,80357,2539,https://www.youtube.com/watch?v=gqh2oXaCHMA
39,방탄소년단,2.0,100816903,4324292,266263,https://www.youtube.com/watch?v=_gyultVTesk
40,DAY6 (데이식스),한 페이지가 될 수 있게,43549196,764685,42968,https://www.youtube.com/watch?v=vnS_jn2uibs
41,"김하온, Nosun, Raf Sandou, Marv, 정준혁",TICK TOCK,13221485,48540,0,https://www.youtube.com/watch?v=HLTQoCRBfxc
42,제니 (JENNIE),like JENNIE,175411259,1799549,37483,https://www.youtube.com/watch?v=XD00TJ-6WSw
43,태양,LIVE FAST DIE SLOW,1280036,15628,902,https://www.youtube.com/watch?v=cI957B9ZNi4
44,너드커넥션 (Nerd Connection),그대만 있다면,4280585,13353,489,https://www.youtube.com/watch?v=fPJAxY6OtGM
45,방탄소년단,Hooligan,56016422,3034918,159289,https://www.youtube.com/watch?v=diBO0gMuTXo
46,임현정,사랑은 봄비처럼...이별은 겨울비처럼...,4386118,12162,603,https://www.youtube.com/watch?v=LmG1rPr5nbw
